S.No,"Name, Address & email Id of the Unit",Contact Person Name & Contact No.,Category (Manufacturer / Supplier),Product Name,Stock in Hand (In Nos.),Production Capacity per Week ( In Nos.),Remarks
191,"M/s FOCAL Merchandising (India) Private Limited,379, Nehru Nagar, First Cross Street, Perungudi, Chennai - 600096noel@focalmerchandising.com",Noel M Ravin9841033369,Manufacturer,PPE KITS,10000,10000,We Can Supply PPE Face Mask Per Week 10000nos. / Acrylic Aerosol Box 500nos. Per Week
192,"M/s BIS,394/121, DR.NATESAN ROAD, TRIPLICANE, CHENNAI, TAMILNADU -PINCODE-600005bisdbs@gmail.com",Rtn.Dr.A.Devakumaar9940017933,Supplier,3Ply Surgical Masks,5000,1000,SUPPLY AGAINST ORDER AND SOURCING FOR REQUIREMENTS FROM THE MANUFACTURERS.
193,"M/s BIS,394/121, DR.NATESAN ROAD, TRIPLICANE, CHENNAI, TAMILNADU -PINCODE-600005bisdbs@gmail.com",Rtn.Dr.A.Devakumaar9940017933,Supplier,KN95 Masks / N95 Masks,500,100,SUPPLY AGAINST ORDER AND SOURCING FOR REQUIREMENTS FROM THE MANUFACTURERS.
194,"M/s JKM Leathers,No 4 Vasantha Garden Street Ayanavaram Chennai 600023admin@jkmleathers.com",Anand Kumar9841019054,Manufacturer,PPE KITS,500,1000,We make Covid PPE kits with Seam sealing and  complete high end protection.
195,"M/s JKM Leathers,No 4 Vasantha GardenStreet Ayanavaram Chennai 600023admin@jkmleathers.com",Anand Kumar9841019054,Manufacturer,3Ply Surgical Masks,10000,10000,"We make high quality masks and supply to specialty hospitals , pharmacies and health care industry."
196,"M/s GEMINI ENTERPRISES,38/1, BAKERS STREET, CHOOLAI, CHENNAI 600112gemini.in@gmail.com",Prabhu9789053706,Manufacturer,PPE KITS,500,200,We are making PPE suits for Hospitals
197,"M/s Arjun apparels,No 35/12A, Gangaiamman koil street, (Alayamesthri Thottam)Jafferkhanpet Chennaiarjunapparels21@gmail.com",S.sundar9087333888,Manufacturer,3Ply Surgical Masks,5000,5000,Now stock in 5000 pes
198,"M/s Universal Mattress,138,Pycrofts Road, Royapettah, ChennaiUniversalmattress@gmail.com",Abdul Kadir9884177249,Manufacturer,Hospital Matresses,200,500,Hospital Rexine Mattress manufacturer
199,"M/s ADON INTERNATIONAL PRIVATE LIMITED,E-6, DOSHI GARDEN, 1ST FLOOR
# 321, ARCOT ROAD, VADAPALANI, CHENNAI - 600026adoninternationalpvtltd@gmail.com",Premkumar J9940200077,Supplier,KN95 Masks / N95 Masks,2000,20000,
200,"M/s Pranav Systems private limited,400/4,400/5, Puducherry road,Somangalam Village,
Somangalam,chennai-69.pranavsystemschennai@gmail.com",9445588003,Manufacturer,3Ply Surgical Masks,10000,200000,"We are also doing Hand Free hand Wash, Sanitization tunnel, Rapid Sampling Booth"
201,"M/s TRAKCHEMICALS PVT LTD.,,2/629,SUTLTHA STREET, EAST COAST ROAD, NEELANKAR, CHENNAI-115dkrssco@gmail.com",KUMAR LAKSHMAN6380461864,Manufacturer,Sanitizer (Alcohol Based),,,"7000
ts , test reports  allied."
202,"M/s HOCHSTE HEALTHCARE PVT LTD,PLOT NO: 12, SRIPURAM 3RD CROSS STREET,
TIRUNEERMALAI MAIN ROAD
CHROMPET CHENNAI - 600044sales@hochstehealthcare.com",Sudha PR9962089621,Manufacturer,Fowler Cot,0,5,
203,"M/s ATRIUM MEDICAL TECHNOLOGIES,No: 80/18, First Floor, Ganapathy Nagar 1st St, Ekkatuthangal, Chennai, Tamil Nadu 600032sales@atriummeditech.com",Mr.Kumar krishnamoorthy9551266505,Manufacturer,Multipara Monitors,5000,2500,"Biomedical accessories Manufacturer   O2 SENSOR , FLOW SENSOR ,ECG CABLES AND SPO2 SENSOR , TEMPERATURE PROBES etc...."
204,"M/s TRS PHARMACEUTICALS,No:195, Ayappakkam, Chennai - 600077trspharma@gmail.com",Ramanathan R9710783232,Supplier,Sanitizer (Alcohol Based),1000,10000,CERTIFICATE CAN BE PROVIDED IN THE TIME OF ORDERS.
205,"M/s Rajhans Impex,# 46/3, Strotten Muthia Street, 1st Floor, Sowcarpetrajhansimpex@hotmail.com",VIMAL SHAH9383396000,Supplier,COVID TESTING KITS,500,500,"3PLY FACE MASK, N95 MASK, PPE KIT, GLOVES, SANITIZER, GOOGLES, IR THERMOMETER, TESTING KIT ETC ALL AVAILABLE UNDER ONE ROOF AT VERY COMPETITIVE PRICE & TO SERVE THE GOVT."
206,"M/s Siddarth services,Plot No 1, Teachers colony, Vettuvankani, ChennaiSiddharthservices@hotmail.com",V Damodara kannan9444728890,Manufacturer,PPE KITS,500,3500,
207,"M/s Rajhans Impex,# 46/3, Strotten Muthia Street, 1st Floor, Sowcarpetrajhansimpex@hotmail.com",VIMAL SHAH9383396000,Supplier,PPE KITS,1000,25000,"3PLY FACE MASK, N95 MASK, PPE KIT, GLOVES, SANITIZER, GOOGLES, IR THERMOMETER, TESTING KIT ETC ALL AVAILABLE UNDER ONE ROOF AT VERY COMPETITIVE PRICE & TO SERVE THE GOVT."
208,"M/s Rajhans Impex,# 46/3, Strotten Muthia Street, 1st Floor, Sowcarpetrajhansimpex@hotmail.com",VIMAL SHAH9383396000,Supplier,KN95 Masks / N95 Masks,1000,3000,"3PLY FACE MASK, N95 MASK, PPE KIT, GLOVES, SANITIZER, GOOGLES, IR THERMOMETER, TESTING KIT ETC ALL AVAILABLE UNDER ONE ROOF AT VERY COMPETITIVE PRICE & TO SERVE THE GOVT."
209,"M/s Rajhans Impex,# 46/3, Strotten Muthia Street, 1st Floor, Sowcarpetrajhansimpex@hotmail.com",VIMAL SHAH9383396000,Supplier,3Ply Surgical Masks,200000,1000000,"3PLY FACE MASK, N95 MASK, PPE KIT, GLOVES, SANITIZER, GOOGLES, IR THERMOMETER, TESTING KIT ETC ALL AVAILABLE UNDER ONE ROOF AT VERY COMPETITIVE PRICE & TO SERVE THE GOVT."
210,"M/s Rajhans Impex,# 46/3, Strotten Muthia Street, 1st Floor, Sowcarpetrajhansimpex@hotmail.com",VIMAL SHAH9383396000,Supplier,KN95 Masks / N95 Masks,500,1000,"3PLY FACE MASK, N95 MASK, PPE KIT, GLOVES, SANITIZER, GOOGLES, IR THERMOMETER, TESTING KIT ETC ALL AVAILABLE UNDER ONE ROOF AT VERY COMPETITIVE PRICE & TO SERVE THE GOVT."
211,"M/s Rajhans Impex,# 46/3, Strotten Muthia Street, 1st Floor, Sowcarpetrajhansimpex@hotmail.com",VIMAL SHAH9383396000,Supplier,Fowler Cot,50,500,"3PLY FACE MASK, N95 MASK, PPE KIT, GLOVES, SANITIZER, GOOGLES, IR THERMOMETER, TESTING KIT ETC ALL AVAILABLE UNDER ONE ROOF AT VERY COMPETITIVE PRICE & TO SERVE THE GOVT."
212,"M/s Rajhans Impex,# 46/3, Strotten Muthia Street, 1st Floor, Sowcarpetrajhansimpex@hotmail.com",VIMAL SHAH9383396000,Supplier,Sanitizer (Alcohol Based),1000,10000,"3PLY FACE MASK, N95 MASK, PPE KIT, GLOVES, SANITIZER, GOOGLES, IR THERMOMETER, TESTING KIT ETC ALL AVAILABLE UNDER ONE ROOF AT VERY COMPETITIVE PRICE & TO SERVE THE GOVT."
213,"M/s Creepys Cosmetics,D115, anna main road, KK nagar, chennai 600078creepyscosmetics@gmail.com",Kavitha Anand9042783187,Supplier,Sanitizer (Alcohol Based),20,500,Bulk orders only 5litres and 10 litres
214,"M/s Sasham Biologicals Pvt Ltd,No.24, 2nd Avenue, Ashok Nagar, Chennai 600083shamsudeensa@gmail.com",Shamsudeen S A9380939132,Supplier,Sanitizer (Alcohol Based),1000,2000,
215,"M/s HOCHSTE HEALTHCARE PVT LTD,PLOT NO: 12, SRIPURAM 3RD CROSS STREET,
TIRUNEERMALAI MAIN ROAD
CHROMPET CHENNAI - 600044sales@hochstehealthcare.com",Sudha PR9962089621,Manufacturer,PPE KITS,0,100,
216,"M/s Tendders Wonders LLP,Gems Court, A 5, 14, Khader Nawaz Khan Rd, Thousand Lights West, Thousand Lights, Chennai - 600006tendderswonders1@gmail.com",Vikhrem Parrekh9367999999,Supplier,Sanitizer (Alcohol Based),5000,5000,Sanitizer is in Litres..  We are an  highly trusted and reputed dealer i the wholesale business for over 40 years.
217,"M/s Tendders Wonders LLP,Gems Court, A 5, 14, Khader Nawaz Khan Rd, Thousand Lights West, Thousand Lights, Chennai - 600006tendderswonders1@gmail.com",Vikhrem Parrekh9367999999,Supplier,KN95 Masks / N95 Masks,10000,10000,Sanitizer is in Litres..  We are an  highly trusted and reputed dealer i the wholesale business for over 40 years.
218,"M/s MORRISON LIFECARE PVT LTD,3 ANNA STREET
PADIKUPPAM
CHENNAI 600107morrisonslifecare@yahoo.co.in / email@morrisonslifecare.com",9677010126,Manufacturer,KN95 Masks / N95 Masks,10000,20000,500ml
219,"M/s TRS PHARMACEUTICALS,No:195, Ayappakkam, Chennai - 600077trspharma@gmail.com",Ramanathan R9710783232,Supplier,3Ply Surgical Masks,100000,1000000,CERTIFICATE CAN BE PROVIDED IN THE TIME OF ORDERS.
220,"M/s Tendders Wonders LLP,Gems Court, A 5, 14, Khader Nawaz Khan Rd, Thousand Lights West, Thousand Lights, Chennai - 600006tendderswonders1@gmail.com",Vikhrem Parrekh9367999999,Supplier,3Ply Surgical Masks,100000,100000,Sanitizer is in Litres..  We are an  highly trusted and reputed dealer i the wholesale business for over 40 years.
221,"M/s Tendders Wonders LLP,Gems Court, A 5, 14, Khader Nawaz Khan Rd, Thousand Lights West, Thousand Lights, Chennai - 600006tendderswonders1@gmail.com",Vikhrem Parrekh9367999999,Supplier,PPE KITS,1000,2000,Sanitizer is in Litres..  We are an  highly trusted and reputed dealer i the wholesale business for over 40 years.
222,"M/s Creepys Cosmetics,D115, Anna Main Road, KK nagar, chennai 600078creepyscosmetics@gmail.com",Kavitha Anand9042783187,Supplier,3Ply Surgical Masks,100000,100000,3ply face mask available in Bulk 3layer production.
223,"M/s V.L OVERSEAS TRADING,No 9/12 GANAPATHY NAGAR MURUGAN STREET ALAPAKKAM CHENNAI - 600116vlexporttrading@gmail.com",DuRAI / SURESH9840981940,Manufacturer,3Ply Surgical Masks,50000,10000,We are the Suppliers of Face Mask 3 Ply
224,"M/s BRIGANTIA TECHNOLOGIES INDIA PRIVATE LIMITED,NO,597 ,THIRUVALLUVAR NAGAR , THIRUVANMIYUR , CHENNAI - 41tashok_in@rediffmail.com",ASHOKKUMAR THANGARAJU9944797447,Supplier,3Ply Surgical Masks,100000,300000,
225,"M/s VEER FASHIONS,43, M.S.Koil Street
RoyapuramInfo@veerfashions.com",Virag Jain8939721899,Supplier,3Ply Surgical Masks,500000,1500000,
226,"M/s VEER FASHIONS,43, M.S.Koil Street
RoyapuramInfo@veerfashions.com",Virag Jain8939721899,Supplier,PPE KITS,10000,8000,
227,"M/s ADART PUBLICITY,4/3 Joseph first Street,Palavanthangal
Chennai - 600114prabir@adartpub.com",MR. SRIRAM CHELLAPPA9444079678,Manufacturer,Multipara Monitors,12,12,BIO MEDICAL EMS PORTO BALE ISOLATION POD
228,"M/s VASSMAAN AUTOMOTIVE PRIVATE LIMITED,NO 8
Aarthi Industrial Estate Moulivakkam Chennai 600116murugan@vassmaan.com",9965559939,Supplier,Sanitizer (Alcohol Based),500000,100000,we are supplying Face mask and sanitizer
229,"M/s ADON INTERNATIONAL PRIVATE LIMITED,E-6, DOSHI GARDEN, 1ST FLOOR
# 321, ARCOT ROAD, VADAPALANI, CHENNAI - 600026adoninternationalpvtltd@gmail.com",Premkumar J9940200077,Supplier,3Ply Surgical Masks,10000,100000,
230,"M/s VASSMAAN AUTOMOTIVE PRIVATE LIMITED,NO 8
Aarthi Industrial Estate Moulivakkam Chennai 600116murugan@vassmaan.com",9965559939,Supplier,3Ply Surgical Masks,500000,100000,we are supplying Face mask and sanitizer
231,"M/s ADON INTERNATIONAL PRIVATE LIMITED,E-6, DOSHI GARDEN, 1ST FLOOR
# 321, ARCOT ROAD, VADAPALANI, CHENNAI - 600026adoninternationalpvtltd@gmail.com",Premkumar J9940200077,Supplier,PPE KITS,2000,10000,
232,"M/s Rhizome Distilleries Pvt Ltd,samiready313@gmail.com",P Samatha9840034204,Supplier,Sanitizer (Alcohol Based),50000,500000,I am the supplier . This is manufactured in AP
233,"M/s MECHSERV ENGINEERING PRIVATE LIMITED,G-1 LEFT WING, PLOT NO.84, VINVIRTUSA APPARTMENT,
RAJA GARDENS, PORUR SERVICE ROAD, PORUR,sales@mechserv.in",YESURAJ8939870631,Supplier,Sanitizer (Alcohol Based),250,500,
234,"M/s MANEESH PHARMACEUTICALS LIMITED,C/o SURESH PHARMACEUTICALS PVT LTD -CANo.20, Vaidyanatha Mudali Street,Chennai -60001ns@svizerahealth.ccom",Srinivasan Natarajan9969028751,Supplier,COVID TESTING KITS,25000,10000,"ALLPLEX 2019-NCOV ASSAY
MAKE : SEEGENE, SOUTH KOREA
(COMMERCIAL KITS FOR DETECTION OF SARS-
COV-2 RNA BY REAL TIME PCR)
EACH KIT CAN PERFORM 100 TESTS"
235,"M/s LTS & CO,No 11/a semathamman new colony peramburlts2021ag@gmail.com",Tamil Selvan8056192389,Manufacturer,Fowler Cot,0,50,
236,"M/s EAGLE EYE TECHNOLOGIES,30, Jothi Lodge, Mount Road, 1st Shop, Narasingapuram Street, Chennai - 600002info@eagleeyetechno.com",Prabakaran9840243403,Supplier,Sanitizer (Alcohol Based),500,1000,
237,"M/s ALFA ENTERPRISES,NO.62/57, SEMBUDOSS STREET, BROADWAY, CHENNAI - 600001.alfaaccountsemail@gmail.com",A. Sameer9500021114,Supplier,KN95 Masks / N95 Masks,500,50,WE ARE WHOLESALE SUPPLIER FOR ESSENTIAL ABOVE ITEMS. THE ABOVE ITEMS TO SALE AGAINST BUYERS ORDERS
238,"M/s ALFA ENTERPRISES,NO.62/57, SEMBUDOSS STREET, BROADWAY, CHENNAI - 600001.alfaaccountsemail@gmail.com",A. Sameer9500021114,Supplier,3Ply Surgical Masks,50000,10000,WE ARE WHOLESALE SUPPLIER FOR ESSENTIAL ABOVE ITEMS. THE ABOVE ITEMS TO SALE AGAINST BUYERS ORDERS
239,"M/s ALFA ENTERPRISES,NO.62/57, SEMBUDOSS STREET, BROADWAY, CHENNAI - 600001.alfaaccountsemail@gmail.com",A. Sameer9500021114,Supplier,KN95 Masks / N95 Masks,500,50,WE ARE WHOLESALE SUPPLIER FOR ESSENTIAL ABOVE ITEMS. THE ABOVE ITEMS TO SALE AGAINST BUYERS ORDERS
240,"M/s ALFA ENTERPRISES,NO.62/57, SEMBUDOSS STREET, BROADWAY, CHENNAI - 600001.alfaaccountsemail@gmail.com",A. Sameer9500021114,Supplier,PPE KITS,200,50,WE ARE WHOLESALE SUPPLIER FOR ESSENTIAL ABOVE ITEMS. THE ABOVE ITEMS TO SALE AGAINST BUYERS ORDERS
241,"M/s EAGLE EYE TECHNOLOGIES,30, Jothi Lodge, Mount Road, 1st Shop, Narasingapuram Street, Chennai - 600002info@eagleeyetechno.com",Prabakaran9840243403,Supplier,KN95 Masks / N95 Masks,5000,20000,
242,"M/s Watsan Envirotech Pvt Ltd,92/98, Nithyanandam Street, Vasudevan Nagar, Ashok Nagar POwatsanenvirotech@gmail.com",J CHANDRASEKARAN9444441181,Manufacturer,PPE KITS,1000,8000,"We are making Transparent Unbreakable, sterilisable face shields which can be reused, instead of the OHP film throw away masks. FIRST TIME IN INDIA. Patent filed."
243,"M/s ELECTRONIC HEAT,# D-22,,Ambattur Indl.Estate,MTH Road,,Ambattur,Chennai-600058electronicheat@gmail.com",RAMA SWAMY PANDIAN9840018434,Supplier,VENTILATOR,10,20,Subcontractor for IH process of Ventilator parts
244,"M/s EAGLE EYE TECHNOLOGIES,30, Jothi Lodge, Mount Road, 1st Shop, Narasingapuram Street, Chennai - 600002info@eagleeyetechno.com",Prabakaran9840243403,Supplier,3Ply Surgical Masks,25000,100000,
245,"M/s Mahadev enterprise,Choolai,chennaiAdithtnt@gmail.com",Vijay8939994769,Supplier,KN95 Masks / N95 Masks,20000,100000,
246,"M/s Mahadev enterprise,Choolai,chennaiAdithtnt@gmail.com",Vijay8939994769,Supplier,KN95 Masks / N95 Masks,20000,100000,
247,"M/s Mahadev enterprise,Choolai,chennaiAdithtnt@gmail.com",Vijay8939994769,Supplier,3Ply Surgical Masks,100000,100000,
248,"M/s AMRA Lifecare Pvt Ltd,No. 14, Kothai Avenue, Irandam Kattalai, Kovur, Thandalam, Chennai - 600128.amralifecare@gmail.com",Ramaiah9500080690,Supplier,Hospital Matresses,20,100,MeltBlown Quality CE Certified 3 Play Mask
249,"M/s AMRA Lifecare Pvt Ltd,No. 14, Kothai Avenue, Irandam Kattalai, Kovur, Thandalam, Chennai - 600128.amralifecare@gmail.com",Ramaiah9500080690,Supplier,3Ply Surgical Masks,200000,350000,MeltBlown Quality CE Certified 3 Play Mask
250,"M/s Loyal Textile Mills Pvt Ltd,No.83, 41, 1st Main Rd, RA Puram,suganya@loyaltextiles.com",Suganya7259551695,Manufacturer,3Ply Surgical Masks,150000,100000,"We Loyal Textiles are  manufacturing industrial safety garments since 27 years now, we have started PPE kit's & Mask manufacturing to fulfill the need of government"
251,"M/s EAGLE EYE TECHNOLOGIES,30, Jothi Lodge, Mount Road, 1st Shop, Narasingapuram Street, Chennai - 600002info@eagleeyetechno.com",Prabakaran9840243403,Supplier,PPE KITS,100,1000,
252,"M/s ukenabimodeki,http://mewkid.net/when-is-xuxlya3/inugil@oqepo.jonjamail.com",inugil@oqepo.jonjamail.com84948192417,Supplier,Fowler Cot,,,http://mewkid.net/when-is-xuxlya3/ - Amoxicillin 500mg Capsules Amoxicillin No Prescription wlv.embf.msmeonline.tn.gov.in
253,"M/s Loyal Textile Mills Pvt Ltd,No.83, 41, 1st Main Rd, RA Puram,suganya@loyaltextiles.com",Suganya7259551695,Manufacturer,PPE KITS,1000,10000,"We Loyal Textiles are  manufacturing industrial safety garments since 27 years now, we have started PPE kit's & Mask manufacturing to fulfill the need of government"
254,"M/s JL ROYAL MAX PRIVATE LIMITED,No.98, Kumaran Kudi, Thoraipakkam, Chennai - 600096salesroyalmax@gmail.com",S.Jambulingam9943888599,Manufacturer,Pillows,3000,10000,
255,"M/s JL ROYAL MAX PRIVATE LIMITED,No.98, Kumaran Kudi, Thoraipakkam, Chennai - 600096salesroyalmax@gmail.com",S.Jambulingam9943888599,Manufacturer,Hospital Matresses,2150,2500,
256,"M/s SP SURGICALS,B-2, CEEBROS CASTLE, 15, VALMIKI STREET, T NAGAR, CHEENAI - 600 017spsurgicals01@gmail.com",RAKESH KUMAR VERMA9840040401,Supplier,Pillows,10,30,STOCKS AVAILABLE ON DEMAND BASIS
257,"M/s SP SURGICALS,B-2, CEEBROS CASTLE, 15, VALMIKI STREET, T NAGAR, CHEENAI - 600 017spsurgicals01@gmail.com",RAKESH KUMAR VERMA9840040401,Supplier,Hospital Matresses,10,50,STOCKS AVAILABLE ON DEMAND BASIS
258,"M/s SP SURGICALS,B-2, CEEBROS CASTLE, 15, VALMIKI STREET, T NAGAR, CHEENAI - 600 017spsurgicals01@gmail.com",RAKESH KUMAR VERMA9840040401,Supplier,Fowler Cot,10,30,STOCKS AVAILABLE ON DEMAND BASIS
259,"M/s POLYENE GENERAL INDUSTRIES PVT LTD,A11 and A12, TVK Industrial Estate, Guindypolyenegroup@gmail.com",Narayan M9841030571,Manufacturer,Sanitizer (Alcohol Based),0,15000,Manufacturers of HDPE plastic /Jerry cans bottles of 1L/5L capacity to pack sanitizers
260,"M/s SP SURGICALS,B-2, CEEBROS CASTLE, 15, VALMIKI STREET, T NAGAR, CHEENAI - 600 017spsurgicals01@gmail.com",RAKESH KUMAR VERMA9840040401,Supplier,KN95 Masks / N95 Masks,1000,1000,STOCKS AVAILABLE ON DEMAND BASIS
261,"M/s SP SURGICALS,B-2, CEEBROS CASTLE, 15, VALMIKI STREET, T NAGAR, CHEENAI - 600 017spsurgicals01@gmail.com",RAKESH KUMAR VERMA9840040401,Supplier,3Ply Surgical Masks,5000,5000,STOCKS AVAILABLE ON DEMAND BASIS
262,"M/s SP SURGICALS,B-2, CEEBROS CASTLE, 15, VALMIKI STREET, T NAGAR, CHEENAI - 600 017spsurgicals01@gmail.com",RAKESH KUMAR VERMA9840040401,Supplier,KN95 Masks / N95 Masks,10000,10000,STOCKS AVAILABLE ON DEMAND BASIS
263,"M/s SP SURGICALS,B-2, CEEBROS CASTLE, 15, VALMIKI STREET, T NAGAR, CHEENAI - 600 017spsurgicals01@gmail.com",RAKESH KUMAR VERMA9840040401,Supplier,PPE KITS,10000,10000,STOCKS AVAILABLE ON DEMAND BASIS
264,"M/s SP SURGICALS,B-2, CEEBROS CASTLE, 15, VALMIKI STREET, T NAGAR, CHEENAI - 600 017spsurgicals01@gmail.com",RAKESH KUMAR VERMA9840040401,Supplier,VENTILATOR,10,10,STOCKS AVAILABLE ON DEMAND BASIS
265,"M/s SP SURGICALS,B-2, CEEBROS CASTLE, 15, VALMIKI STREET, T NAGAR, CHEENAI - 600 017spsurgicals01@gmail.com",RAKESH KUMAR VERMA9840040401,Supplier,COVID TESTING KITS,10000,10000,STOCKS AVAILABLE ON DEMAND BASIS
266,"M/s DNV infraa vision,Ten Square Mall Shop No, 207, Ist Floor,
100 Feet Road, Jawarhalal Nehru Road,
Koyambedu, Chennai, Tamilnadudinesh@dnvgroup.in",Dinesh9884741999,Supplier,COVID TESTING KITS,10000,250000,
267,"M/s Appslabsolutions,MedavakkamSigninsaravanan@gmail.com",Saravanan8754504500,Supplier,KN95 Masks / N95 Masks,100000,10000,
268,"M/s AMAR BIOLIFE,332, KRISH ARCADE, 3rd FLOOR,NR, VADODARA EXPRESS APPROACH,S.P.RING ROAD, RAMOL,AHMEDABAD-382449sales1@amarbiolife.com",CHANDRESH MADI8488041332,Manufacturer,Sanitizer (Alcohol Based),50,100,UV STERILIZER CABINET FOR HOME/OFFICE APPLICATION
269,"M/s DR MGR EDUCATIONAL AND RESEARCH INSTITUTE,MADURAVOYAL,CHENNAIkamal.ari@drmgrdu.ac.in",kamal9003413525,Manufacturer,VENTILATOR,5,10,
270,"M/s Tcifreight,4/70 4th street labour colony guindyGin@tcifreight.in",Vinod sharma9383545021,Supplier,Multipara Monitors,2,10,Ok
271,"M/s HOCHSTE HEALTHCARE PVT LTD,PLOT NO 12, SRIPURAM 3RD CROSS ST
TIRUNNERMALAI MAIN ROAD, CHROMEPETsales@hochstehealthcare.com",HOCHSTE HEALTHCARE PRIVATE LIMITED9962089621,Manufacturer,3Ply Surgical Masks,500000,500000,
272,"M/s MORRISON LIFECARE PVT LTD,3 ANNA STREET
PADIKUPPAM
CHENNAI 600107morrisonslifecare@yahoo.co.in / email@morrisonslifecare.com",9677010126,Manufacturer,3Ply Surgical Masks,100000,300000,500ml
273,"M/s Swagene Private Limited,T36-38 LG Manor
7th Avenue, Besant Nagar
Chennai 600090office@swagene.com",Sooraj8939414717,Manufacturer,COVID TESTING KITS,10000,200000,"Viral RNA extraction kits (spin column-based)
Viral RNA extraction kits (magnetic beads-based)
RT-PCR diagnostic kits"
274,"M/s Raionventures pvt ltd,no 145 ECR Neelankarai Chennair9840649398@gmail.com",9840649398,Manufacturer,Sanitizer (Alcohol Based),50,7,
275,"M/s Universal Mattress Co,138 Pycrofts road, Royapettah, Chennai - 600014Universalmattress@gmail.com",Abdul Kadir9884177249,Manufacturer,Hospital Matresses,50,500,Hospital Mattress with Rexine cover
276,"M/s BLOG GARMENTS,74 GIRI ROAD 
T NAGAR
CHENNAI 600017balakrishnan@bloguniforms.com",ASHOK KUMAR ASERA9444022297,Manufacturer,Hospital Matresses,1000,10000,WE CAN SUPPLY ANY QUANTITY FROM 100 TO 10000
277,"M/s Smile and smile enterprises,1,professor sanjeevi street, Mylapore, Chennai-600004salessmileandsmile@gmail.com",Somasundaram9080420500,Manufacturer,KN95 Masks / N95 Masks,500000,200000,We have our unit in eride .office in CHENNAI.
278,"M/s BLOG GARMENTS,74 GIRI ROAD 
T NAGAR
CHENNAI 600017balakrishnan@bloguniforms.com",ASHOK KUMAR ASERA9444022297,Manufacturer,3Ply Surgical Masks,10000,10000,WE CAN SUPPLY ANY QUANTITY FROM 100 TO 10000
279,"M/s Bharath Biologicals,1/3 CHERAN STREET, VIGNESHWARA NAGAR, PORUR, CHENNAI-600116bharathbiologicalsfactory@gmail.com",RAJA RAMALINGAM9941690113,Manufacturer,Sanitizer (Alcohol Based),0,10000,"We can give 5 lit, 500 ml, 100 ml. Delivery in 2 days. our location in chennai."
280,"M/s Premier Industrial Plastics,C - 10 Razack Garden Road, MMDA Colony
Arumbakkam Chennai - 600 106finance.pip@gmail.com",B Subramanaian9884040202,Manufacturer,PPE KITS,5000000,10000,We manufacture the Plastic face shield for Medical purpose we need a permission to manufacture and deliver the product to our customer
281,"M/s TRS PHARMACEUTICALS,No:195, Ayappakkam, Chennai - 600077trspharma@gmail.com",Ramanathan R9710783232,Supplier,Multipara Monitors,100,1000,CERTIFICATE CAN BE PROVIDED IN THE TIME OF ORDERS.
282,"M/s PARAMOUNT INDUSTRIES,46, STROTTEN MUTHIA STREET, SOWCARPET, CHENNAI 600010.paramountindustries1@gmail.com",DARSHAN9840668481,Manufacturer,Sanitizer (Alcohol Based),2000,20000,"bulk qty of ppe approved kits, 3ply mask, n95 mask, Alcoholic sanitizers available for immediate supply only for govt depts."
283,"M/s PARAMOUNT INDUSTRIES,46, STROTTEN MUTHIA STREET, SOWCARPET, CHENNAI 600010.paramountindustries1@gmail.com",DARSHAN9840668481,Manufacturer,KN95 Masks / N95 Masks,1000,5000,"bulk qty of ppe approved kits, 3ply mask, n95 mask, Alcoholic sanitizers available for immediate supply only for govt depts."
284,"M/s PARAMOUNT INDUSTRIES,46, STROTTEN MUTHIA STREET, SOWCARPET, CHENNAI 600010.paramountindustries1@gmail.com",DARSHAN9840668481,Manufacturer,3Ply Surgical Masks,500000,1000000,"bulk qty of ppe approved kits, 3ply mask, n95 mask, Alcoholic sanitizers available for immediate supply only for govt depts."
285,"M/s PARAMOUNT INDUSTRIES,46, STROTTEN MUTHIA STREET, SOWCARPET, CHENNAI 600010.paramountindustries1@gmail.com",DARSHAN9840668481,Manufacturer,KN95 Masks / N95 Masks,2000,5000,"bulk qty of ppe approved kits, 3ply mask, n95 mask, Alcoholic sanitizers available for immediate supply only for govt depts."
286,"M/s PARAMOUNT INDUSTRIES,46, STROTTEN MUTHIA STREET, SOWCARPET, CHENNAI 600010.paramountindustries1@gmail.com",DARSHAN9840668481,Manufacturer,PPE KITS,2000,30000,"bulk qty of ppe approved kits, 3ply mask, n95 mask, Alcoholic sanitizers available for immediate supply only for govt depts."
287,"M/s MWG EXPORTS CO,Puzhal Industrial Complex, Next to Puzhal Prisonsales@mwgexports.com",R.SARAVANAN9159370001,Manufacturer,Sanitizer (Alcohol Based),0,200000,We are manufacturers and suppliers of 3ply Facemask with ready stock for immediate requirement. Capable to Supply Sufficient qty's of mask nd Covid-19 related medical kit
288,"M/s LATITUDE X,NO 64, SHOP NO 1, KHUTHUBI COMPLEX, FIRST AVENUE, VETTUVANKENI, CHENNAI 600115ganeshsathyas@gmail.com",GANESH KUMAR SATHYAMURTHI8072333877,Manufacturer,VENTILATOR,3,5000,"With excellence, experience in PCB Boards, our Products have achieved milestones in Portable Electronics. Scaling up the production to 5000 units is viable with finance."
289,"M/s TESCOM ELECTRONICS PVT LTD,PLOT NO 56, GEASON LAYOUT,
PONNIAMMAN NAGAR, AYANAMBAKKAM, CHENNAI - 600 095balu@tescom.co.in",MURTHY9844005353,Supplier,COVID TESTING KITS,200,300000,
